movie_id,original_title,primary_title,start_year,averagerating,numvotes,id,release_date,movie_title,production_budget,domestic_gross,worldwide_gross,gross_earnings
tt0989757,Dear John,Dear John,2010,6.3,128657,77,"Feb 5, 2010",Dear John,,,,
tt0990363,Detention,Detention,2010,3.0,889,45,"Apr 13, 2012",Detention,,,,
tt0990407,The Green Hornet,The Green Hornet,2011,5.8,148622,29,"Jan 14, 2011",The Green Hornet,,,,
tt0993842,Hanna,Hanna,2011,6.8,179178,14,"Apr 8, 2011",Hanna,,,,
tt0993846,The Wolf of Wall Street,The Wolf of Wall Street,2013,8.2,1035358,76,"Dec 25, 2013",The Wolf of Wall Street,,,,
tt0999913,Straw Dogs,Straw Dogs,2011,5.8,30924,88,"Sep 16, 2011",Straw Dogs,,,,
tt1001526,Megamind,Megamind,2010,7.3,207488,47,"Nov 5, 2010",Megamind,,,,
tt1002563,The Young Messiah,The Young Messiah,2016,5.6,2882,17,"Mar 11, 2016",The Young Messiah,,,,
tt1007029,The Iron Lady,The Iron Lady,2011,6.4,96066,90,"Jan 13, 2012",The Iron Lady,,,,
tt10075374,The Little Prince,The Little Prince,2019,8.3,6,19,"Feb 12, 2016",The Little Prince,,,,
tt1013743,Knight and Day,Knight and Day,2010,6.3,169840,2,"Jun 23, 2010",Knight and Day,,,,
tt1013860,Dylan Dog: Dead of Night,Dylan Dog: Dead of Night,2010,5.1,14120,90,"Apr 29, 2011",Dylan Dog: Dead of Night,,,,
tt1014759,Alice in Wonderland,Alice in Wonderland,2010,6.5,358813,51,"Mar 5, 2010",Alice in Wonderland,,,,
tt1014759,Alice in Wonderland,Alice in Wonderland,2010,6.5,358813,60,"Jul 28, 1951",Alice in Wonderland,,,,
tt1014763,Child 44,Child 44,2015,6.5,59477,2,"Apr 17, 2015",Child 44,,,,
tt1015471,The Sisterhood of Night,The Sisterhood of Night,2014,6.2,1888,94,"Apr 10, 2015",The Sisterhood of Night,,,,
tt1017451,The Runaways,The Runaways,2010,6.6,43792,57,"Mar 19, 2010",The Runaways,,,,
tt10199664,Adam,Adam,2019,6.3,23,59,"Jul 29, 2009",Adam,,,,
tt1020072,Selma,Selma,2014,7.5,77633,25,"Jan 9, 2015",Selma,,,,
tt1020558,Centurion,Centurion,2010,6.4,74085,46,"Aug 27, 2010",Centurion,,,,
tt1024648,Argo,Argo,2012,7.7,534683,27,"Oct 12, 2012",Argo,,,,
tt1028576,Secretariat,Secretariat,2010,7.2,24536,53,"Oct 8, 2010",Secretariat,,,,
tt1029360,Poltergeist,Poltergeist,2015,4.9,51538,62,"May 22, 2015",Poltergeist,,,,
tt1029360,Poltergeist,Poltergeist,2015,4.9,51538,22,"Jun 4, 1982",Poltergeist,,,,
tt10300662,Kidnap,Kidnap,2019,7.5,26,69,"Aug 4, 2017",Kidnap,,,,
tt10300710,Hit & Run,Hit & Run,2019,7.1,43,37,"Aug 22, 2012",Hit & Run,,,,
tt1032751,The Warrior's Way,The Warrior's Way,2010,6.3,24271,65,"Dec 3, 2010",The Warrior's Way,,,,
tt1033575,The Descendants,The Descendants,2011,7.3,223464,5,"Nov 16, 2011",The Descendants,,,,
tt1034389,The Eagle,The Eagle,2011,6.2,61475,50,"Feb 11, 2011",The Eagle,,,,
tt1034415,Suspiria,Suspiria,2018,6.8,37360,81,"Oct 26, 2018",Suspiria,,,,
tt1037705,The Book of Eli,The Book of Eli,2010,6.9,271307,64,"Jan 15, 2010",The Book of Eli,,,,
tt1038686,Legion,Legion,2010,5.2,92709,37,"Jan 22, 2010",Legion,,,,
tt1038919,The Bounty Hunter,The Bounty Hunter,2010,5.6,112444,73,"Mar 19, 2010",The Bounty Hunter,,,,
tt1041804,The Nutcracker in 3D,The Nutcracker in 3D,2010,4.3,3119,79,"Nov 24, 2010",The Nutcracker in 3D,,,,
tt1043726,The Legend of Hercules,The Legend of Hercules,2014,4.2,50352,42,"Jan 10, 2014",The Legend of Hercules,,,,
tt1045658,Silver Linings Playbook,Silver Linings Playbook,2012,7.7,621018,59,"Nov 16, 2012",Silver Linings Playbook,,,,
tt1047540,Parental Guidance,Parental Guidance,2012,6.1,23711,79,"Dec 25, 2012",Parental Guidance,,,,
tt1051904,Goosebumps,Goosebumps,2015,6.3,72858,58,"Oct 16, 2015",Goosebumps,,,,
tt1053424,Repo Men,Repo Men,2010,6.3,96144,13,"Mar 19, 2010",Repo Men,,,,
tt1053810,The Big Year,The Big Year,2011,6.2,39522,74,"Oct 14, 2011",The Big Year,,,,
tt1055292,Life as We Know It,Life as We Know It,2010,6.6,113077,64,"Oct 8, 2010",Life as We Know It,,,,
tt1065073,Boyhood,Boyhood,2014,7.9,315584,85,"Jul 11, 2014",Boyhood,,,,
tt1067583,Water for Elephants,Water for Elephants,2011,6.9,105812,63,"Apr 22, 2011",Water for Elephants,,,,
tt1067774,Monte Carlo,Monte Carlo,2011,5.8,38731,84,"Jul 1, 2011",Monte Carlo,,,,
